Finding ALL foreign keys in database 'ruralquest_db'...
Foreign Keys Found:
Table: admins, Column: user_id, Constraint: admins_ibfk_1, RefTable: users, RefColumn: id
Table: admin_activities, Column: admin_id, Constraint: admin_activities_ibfk_1, RefTable: users, RefColumn: id
Table: announcements, Column: author_id, Constraint: announcements_ibfk_1, RefTable: users, RefColumn: id
Table: assignments, Column: author_id, Constraint: assignments_ibfk_1, RefTable: users, RefColumn: id
Table: chapters, Column: subject_id, Constraint: chapters_ibfk_1, RefTable: subjects, RefColumn: id
Table: daily_challenges, Column: author_id, Constraint: daily_challenges_ibfk_1, RefTable: users, RefColumn: id
Table: questions, Column: chapter_id, Constraint: questions_ibfk_1, RefTable: chapters, RefColumn: id
Table: quiz_progress, Column: user_id, Constraint: quiz_progress_ibfk_1, RefTable: users, RefColumn: id
Table: students, Column: user_id, Constraint: students_ibfk_1, RefTable: users, RefColumn: id
Table: student_progress, Column: student_id, Constraint: student_progress_ibfk_1, RefTable: users, RefColumn: id
Table: teachers, Column: user_id, Constraint: teachers_ibfk_1, RefTable: users, RefColumn: id
